"CocktailId","CocktailName","CanonicalKey","Source","GlassType","TimePeriod","LegacyFlavorProfile","Aesthetic","Build Method","Build Pattern","Cocktail Family","Flavor Profile","Mood","Occasion","Strength","Texture","NotesForReview"
"243","Raspberry Pamplemousse Cocktail","ultimate_bar_book_the_comprehensive_guid::raspberry_pamplemousse_cocktail","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","","",""
"244","Roy Rogers","ultimate_bar_book_the_comprehensive_guid::roy_rogers","Ultimate Bar Book: the Comprehensive Guide","","","","","Built","Long Drink | Topped With Soda","","Fizzy","","","Low-ABV | Sessionable","",""
"246","Shirley Temple","ultimate_bar_book_the_comprehensive_guid::shirley_temple","Ultimate Bar Book: the Comprehensive Guide","","","","","Built","Long Drink | Topped With Soda","","Fizzy","","","Low-ABV | Sessionable","",""
"248","Springtime Smoothie","ultimate_bar_book_the_comprehensive_guid::springtime_smoothie","Ultimate Bar Book: the Comprehensive Guide","","","","","Blended","Frozen Cocktail","","","","","","",""
"249","Summer Cooler","ultimate_bar_book_the_comprehensive_guid::summer_cooler","Ultimate Bar Book: the Comprehensive Guide","","","","","","Long Drink","Cooler","","","","","",""
"251","Virgin Bite of the Iguana","ultimate_bar_book_the_comprehensive_guid::virgin_bite_of_the_iguana","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","Low-ABV","",""
"252","Virgin Mary","ultimate_bar_book_the_comprehensive_guid::virgin_mary","Ultimate Bar Book: the Comprehensive Guide","","","","","","","","","","","Low-ABV","",""
"258","Chancellor","user_added::chancellor","User Added","","Classic","","","Shaken","Served Up | Simple 4-Ingredient | Spirit + Citrus + Sweet","Sour","","","","","",""
"213","Coastal Spritz","user_added::coastal_spritz","User Added","","Modern","","","","Long Drink | Topped With Soda","","Refreshing","Chill","","Low-ABV","Effervescent",""
"222","Golden Orchard","user_added::golden_orchard","User Added","","Modern","","","","","","","","","","",""
"224","Highland Bloom","user_added::highland_bloom","User Added","","Modern","","","","","","","","","","",""
"232","Midnight Oreo Cocktail","user_added::midnight_oreo_cocktail","User Added","Coupe","Modern","","","","","","","","","","",""
"233","Midnight Reverie","user_added::midnight_reverie","User Added","","Modern","","","Shaken","","","","","","","",""
"253","Monte Carlo","user_added::monte_carlo","User Added","Coupe","","","","Stirred","Served Up | Short Drink | Spirit-Forward","","","","","Spirit-Forward","",""
"236","Paper Plane","user_added::paper_plane","User Added","Coupe","Modern","","","Shaken","Equal Parts | Served Up | Simple 4-Ingredient","Sour","Bitter","","","","",""
"247","South Carolina Sunset","user_added::south_carolina_sunset","User Added","","Modern","","","","","","","","","","",""
